r_kpc,phi_mid_norm,phi_ucp_norm,ratio_mid_over_ucp
0.05,1.0,1.0,1.0
0.3002503128911138,0.9418056404435518,0.9108378321051891,1.033999255681758
0.5505006257822278,0.8900119641899419,0.8177430136883511,1.0883761148574398
0.8007509386733417,0.8436180197090567,0.7240663175806463,1.165111536368483
1.0510012515644556,0.801821222821037,0.633145075885687,1.266409948303545
1.301251564455569,0.7639705361569517,0.5477530026925822,1.3947354599637278
1.551501877346683,0.7295323120624936,0.4698114732199447,1.552819276767554
1.801752190237797,0.6980649754077142,0.4003472661374153,1.743648663178607
2.052002503128911,0.6691999875918975,0.3396186474320199,1.9704453587927575
2.3022528160200246,0.6426273458445041,0.28731829548052706,2.2366391418609055
2.5525031289111384,0.6180844053519755,0.24278207706994087,2.545840338839828
2.8027534418022526,0.5953471685616514,0.20516382326581964,2.9018135804102867
3.0530037546933664,0.5742234288908409,0.17356246330633357,3.308454016795961
3.30325406758448,0.5545473240450363,0.14710389279713892,3.7697664793261123
3.5535043804755944,0.5361749720392692,0.12498695013554269,4.289847631755249
3.803754693366708,0.5189809468822171,0.10650414432718223,4.872870911838889
4.054005006257822,0.48628644973269947,0.09104629336811433,5.34109002951463
4.304255319148936,0.4063038482463442,0.0780979084411065,5.202493336332268
4.554505632040049,0.3429424766049628,0.06722795571596547,5.1011885301685576
4.804755944931164,0.2920996333221802,0.05807889457026194,5.029359382327907
5.055006257822277,0.25083025376339085,0.0503556664187503,4.981172360574547
5.305256570713391,0.21698306244915844,0.04381550599048072,4.952198029991934
5.555506883604505,0.1889617664109256,0.03825895359622498,4.939020768972901
5.805757196495619,0.16556495014434067,0.033522162553240364,4.938969849614807
6.056007509386733,0.14587665463988939,0.029470444714004732,4.949930550948453
6.306257822277847,0.12919028114986628,0.025992926470062537,4.970209156658898
6.5565081351689605,0.11495482297416586,0.02299816337240416,4.998434923377484
6.806758448060075,0.10273631711199895,0.020410562230471215,5.033487855548754
7.057008760951189,0.0921898355838696,0.01816747241681568,5.074444780691636
7.307259073842302,0.08303888221557947,0.01621682577430043,5.12053859190959
7.557509386733416,0.07506006297049009,0.01451522301315285,5.171127092051912
7.80775969962453,0.06807155861216732,0.01302638180223099,5.22566892677051
8.058010012515645,0.061924370748103114,0.011719877047156511,5.283704811828829
8.308260325406758,0.05649561261448337,0.010570116874226466,5.344842756870442
8.558510638297873,0.051683322604637816,0.009555508687575513,5.408746336219516
8.808760951188987,0.047402422507774614,0.008657778565919703,5.475125304586618
9.0590112640801,0.04358154389091191,0.007861414490437292,5.543728033158023
9.309261576971217,0.04016051835203499,0.007153209721514912,5.614335370490125
9.559511889862328,0.03708837941147367,0.0065218873190276356,5.686755627204438
9.809762202753442,0.034321761628373644,0.005957790544825017,5.760820453512887
10.060012515644557,0.03182361026521255,0.005452626878794241,5.836381430935142
10.31026282853567,0.029562135338938242,0.004999255770767107,5.913307239009718
10.560513141426783,0.027509959195464027,0.00459151216104859,5.99148128776412
10.810763454317897,0.0256434182396271,0.004224059330172202,6.070799729648138
11.061013767209012,0.02394198815365699,0.0038922658617652358,6.151169782322816
11.311264080100123,0.02238780856869101,0.003592102483361063,6.232508307430905
11.56151439299124,0.02096528824145663,0.00332005533805275,6.314740601207271
11.811764705882354,0.01966077571588536,0.003073052874248569,6.397799361227348
12.062015018773469,0.01846228349974828,0.0028484040525440664,6.481623800267592
12.31226533166458,0.017359256168928396,0.0026437459825081585,6.566158883562418
12.562515644555695,0.016342374683033362,0.0024569994375385627,6.651354669989365
12.812765957446809,0.015403390673174484,0.002286330968398373,6.737165741128421
13.063016270337922,0.014534985634678957,0.0021301205579437954,6.823550704899808
13.313266583229035,0.013730650891776275,0.001986933940724993,6.910471762723139
13.56351689612015,0.01298458494953058,0.0018554988594315781,6.997894330966248
13.813767209011264,0.012291605450173482,0.0017346846518332233,7.085786708946582
14.06401752190238,0.011647073437205816,0.0016234846619578888,7.174119786977037
14.314267834793492,0.011046828025014598,0.0015210010517888695,7.262866788962622
14.564518147684606,0.010487129892895021,0.0014264316579923825,7.352003044895282
14.81476846057572,0.009964612284866455,0.0013390585947273615,7.441505789293183
15.065018773466834,0.009476238412015997,0.0012582383505534195,7.531353982214895
15.315269086357947,0.009019264331386511,0.0011833931665561107,7.621528149967445
15.56551939924906,0.008591206521869664,0.0011140035154420481,7.712010243038223
15.815769712140176,0.008189813498929803,0.0010496015286532154,7.802783509127003
16.06602002503129,0.007813040910884597,0.000989765241434186,7.893832379447244
16.316270337922404,0.0074590296436108285,0.0009341135450137648,7.985142366714011
16.566520650813516,0.007126086530919595,0.0008823017512532484,8.076699973447274
16.81677096370463,0.006812667326875183,0.000834017688776013,8.168492609399342
17.067021276595746,0.006517361645983001,0.0007889782611464753,8.260508517069319
17.317271589486857,0.006238879619046093,0.000746926407456376,8.352736704399453
17.567521902377973,0.005976040047897587,0.0007076284139887662,8.445166883861814
17.817772215269088,0.005727759872231871,0.0006708715327020195,8.537789417241475
18.0680225281602,0.0054930447872638425,0.0006364618683044238,8.63059526550691
18.318272841051314,0.005270980872672614,0.0006042225008383646,8.723575943231305
18.56852315394243,0.005060727111835942,0.0005739918150983128,8.816723477091994
18.81877346683354,0.0048615086962346945,0.0005456220119830428,8.910030368030284
19.069023779724656,0.004672611023518984,0.0005189777801253535,9.003489556701954
19.31927409261577,0.004493374309425696,0.0004939351089322688,9.097094391890762
19.569524405506883,0.004323188743810999,0.0004703802265727272,9.190838601593674
19.819774718398,0.004161490129754219,0.00044820864852496064,9.284716266519045
20.07002503128911,0.004007755952204882,0.00042732432409007696,9.378721795766708
20.320275344180224,0.0038615018291547664,0.00040763886983227553,9.472849904484317
20.57052565707134,0.003722278303966586,0.00038907088025412283,9.567095593315461
