r_kpc,phi_mid,lap_phi,K_free_phi,V_eff,K_eff_phi
0.05,0.9876543209876544,-9.591230046854092,9.591230046854092,0.401004156672946,9.987283534926137
0.3002503128911138,0.9301784103146191,-1.3448026985179515,1.3448026985179515,0.33600173232152997,1.6573442557517506
0.5505006257822278,0.8790241621629056,-0.6187711708141548,0.6187711708141548,0.272013242666637,0.8578773835464105
0.8007509386733417,0.8332029824286981,-0.3621651788687069,0.3621651788687069,0.25578511521563424,0.5752860997272415
1.0510012515644556,0.7919221953788019,-0.23685452157190967,0.23685452157190967,0.2816351736586506,0.4598876665915584
1.301251564455569,0.7545388011426684,-0.1654330714143378,0.1654330714143378,0.3430502878346992,0.42427782432877903
1.551501877346683,0.7205257403086357,-0.12079517668064296,0.12079517668064296,0.43570488412225816,0.4347317608689214
1.801752190237797,0.6894468892915696,-0.0911142185555796,0.0911142185555796,0.5531996915793589,0.4725160250720243
2.052002503128911,0.6609382593500223,-0.07047222722131088,0.07047222722131088,0.6843305207073738,0.5227724503977369
2.3022528160200246,0.6346936749081522,-0.0556153671368719,0.0556153671368719,0.81278108415231,0.5714823803333337
2.5525031289111384,0.6104537336809635,-0.044626816435811935,0.044626816435811935,0.9193040316885537,0.6058193949680523
2.8027534418022526,0.5879972035176804,-0.03631608308260702,0.03631608308260702,0.9858089167988084,0.6159689693631001
3.0530037546933664,0.5671342507563861,-0.029912133117260424,0.029912133117260424,1.0,0.5970463838736465
3.30325406758448,0.5477010607852211,-0.02489825956548575,0.02489825956548575,0.9588156949348506,0.5500426327788224
3.5535043804755944,0.529555527940019,-0.02091821485371872,0.02091821485371872,0.8692778989573346,0.4812491315626606
3.803754693366708,0.5125737746984861,-0.2962188468789171,0.2962188468789171,0.7463868451362345,0.6787971694756911
4.054005006257822,0.4802829133162464,-0.855468352726583,0.855468352726583,0.6089019346248167,1.1479135478120885
4.304255319148936,0.401287751354414,0.13069607145702408,-0.13069607145702408,0.47462133260361644,0.05976365584831658
4.554505632040049,0.3387086188690991,0.0984654797450121,-0.0984654797450121,0.35676395863869725,0.022373547947773437
4.804755944931164,0.2884934650095607,0.0753201416856683,-0.0753201416856683,0.26236892772488674,0.0003715793845272819
