r_kpc,rho_total,rho_UV,rho_MID,rho_IR,M3D_total_Msun,M3D_UV_Msun,M3D_MID_Msun,M3D_IR_Msun,V_circ_km_s
16.81677096370463,4102724.2926075985,-10.63718963359258,973127.0345304258,3129607.8952668062,189429177239.17227,-38299022.67928831,105982241491.48105,83485234770.3705,220.10621679004538
17.067021276595746,4009142.5510467985,-10.026893957316599,930945.3268763686,3078207.251064387,193089749798.90375,-38308345.103739046,106841341126.20229,86286717017.80519,220.587511983636
17.317271589486857,3918902.333154563,-9.459745912132712,891166.7238651694,3027745.0690353056,196773853508.5828,-38317398.064686686,107687934300.5669,89124236606.08058,221.06711247528668
17.567521902377973,3831825.053975389,-8.932136090860356,853622.5021739108,2978211.483937569,200481186745.5185,-38326193.07928577,108522379937.25635,91997133001.34143,221.54489019866634
17.817772215269088,3747745.4903724743,-8.440802484788483,818157.956572931,2929595.9746020283,204211439866.77713,-38334741.01754886,109345021725.6957,94904752882.09897,222.02072158344012
18.0680225281602,3666510.516699742,-7.982792790638294,784631.0597445106,2881887.4397480222,207964296496.47498,-38343052.14717144,110156188972.10158,97846450576.52058,222.49448794768153
18.318272841051314,3587977.9797311774,-7.555431256700163,752911.2665542715,2835074.2686081626,211739434702.78683,-38351136.174681805,110956197391.05023,100821588447.9113,222.96607579026633
18.56852315394243,3512015.695803892,-7.156289468825116,722878.4454924352,2789144.4066009256,215536528073.01965,-38359002.283262774,111745349843.32771,103829537231.9752,223.43537699815474
18.81877346683354,3438500.5553991874,-6.783160562855939,694421.9222694214,2744085.416290329,219355246694.48828,-38366659.16755499,112523937024.37892,106869676329.27692,223.90228898147646
19.069023779724656,3367317.722328866,-6.434036422728648,667439.6224946497,2699884.533870639,223195258048.35944,-38374115.06571927,113292238107.27193,109941394056.15324,224.36671474760163
19.31927409261577,3298359.916362008,-6.1070874850498695,641837.3020383855,2656528.7214111076,227056227823.10553,-38381377.789006546,114050521343.73682,113044087857.15773,224.828562923881
19.569524405506883,3231526.7695620675,-5.800644823264676,617527.8551154173,2614004.7150914734,230937820653.72617,-38388454.74905855,114799044626.51775,116177164481.9575,225.2877477374356
19.819774718398,3166724.2478403645,-5.513184229064406,594430.6913710473,2572299.0696535464,234839700792.44415,-38395352.98313988,115538056015.98836,119340040129.43896,225.74418895924313
20.07002503128911,3103864.1302993307,-5.243312046681113,572471.1743233862,2531398.199287991,238761532716.16565,-38402079.17748197,116267794233.72159,122532140561.62152,226.1978118187816
20.320275344180224,3042863.5398616423,-4.989752548201577,551580.1144458319,2491288.4151683585,242702981675.61172,-38408639.68890191,116988489125.47182,125752901189.82878,226.64854689463547
20.57052565707134,2983644.5194810084,-4.751336665865313,531693.3109806482,2451955.959837026,246663714190.66498,-38415040.56484286,117700362095.81586,129001767135.41394,227.09632998572178
20.82077596996245,2926133.6489239284,-4.526991921200793,512751.1372761166,2413387.038639733,250643398496.1483,-38421287.56196907,118403626516.50992,132278193267.2003,227.54110196714376
21.07102628285357,2870261.6977146673,-4.31573341140074,494698.1650508179,2375567.848397261,254641704941.94052,-38427386.16343557,119098488110.44704,135581644217.6569,227.98280863411506
21.32127659574468,2815963.310360467,-4.116655731041567,477482.8235216764,2338484.6034945217,258658306351.0489,-38433341.594941474,119785145312.9437,138911594379.70013,228.42140053690417
21.571526908635796,2763176.720431422,-3.928925722534231,461057.0897982602,2302123.5595588842,262692878338.99353,-38439158.83966573,120463789611.94363,142267527885.88956,228.8568328093192
21.821777221526908,2711843.4904689062,-3.751775961910392,445376.2073536269,2266471.034891241,266745099597.60928,-38444842.65217501,121134605868.59773,145648938571.66373,229.28906499288155
22.072027534418023,2661908.2750455667,-3.5844988979960153,430398.4297394885,2231513.429804976,270814652146.14508,-38450397.57138529,121797772619.56332,149055329924.1531,229.71806085851074
22.32227784730913,2613318.6046056845,-3.426441572959571,416084.78702740575,2197237.2440198516,274901221552.3234,-38455827.93265151,122453462362.25938,152486215017.99664,230.14378822726113
22.57252816020025,2566024.687982731,-3.277000860856978,402398.8727337732,2163629.0922498186,279004497125.83057,-38461137.8790529,123101841824.21835,155941116439.49124,230.5662187914061
22.822778473091365,2519979.2317263177,-3.1356191683132923,389306.64922950976,2130675.718115976,283124172086.5171,-38466331.3719357,123743072217.58633,159419566200.30267,230.98532793695134
23.07302878598248,2475137.274577554,-3.0017805480364386,376776.26984979486,2098364.006508307,287259943709.42615,-38471412.200769775,124377309479.74425,162921105641.88266,231.40109456847517
23.32327909887359,2431456.035614051,-2.87500718158338,364777.91610862745,2066680.994512605,291411513448.60114,-38476383.99237052,125004704500.94792,166445285331.6456,231.81350093703355
23.573529411764707,2388894.7747461735,-2.7548561928065136,353283.64859049657,2035613.8810118698,295578587041.4828,-38481250.21953338,125625403339.81888,169991664951.88348,232.22253247172867
23.823779724655815,2347414.6643879022,-2.6409167577943076,342267.27023984166,2005150.0350648183,299760874595.5653,-38486014.209124014,126239547427.45543,173559813182.31903,232.62817761542107
24.074030037546933,2306978.6712506986,-2.5328074809679344,331704.20090056845,1975277.003157611,303958090658.85876,-38490679.149663925,126847273760.87808,177149307577.1303,233.0304276649615
24.32428035043805,2267551.4473195532,-2.4301740103757488,321571.36207474343,1945982.5154188203,308169954275.5817,-38495248.098447636,127448715086.47067,180759734437.20947,233.4292766162316
24.57453066332916,2229099.2291683527,-2.3326868682007027,311847.07097348105,1917254.4908817399,312396189028.4065,-38499723.988225095,128044000074.03215,184390688678.36252,233.82472101420427
24.824780976220275,2191589.744858687,-2.240039475115182,302510.94302554434,1889081.0418726176,316636523068.47046,-38504109.63347976,128633253482.00972,188041773696.09418,234.2167598081725
25.07503128911139,2154992.1277433415,-2.151946349427765,293543.8020916151,1861450.477598076,320890689134.2787,-38508407.73633073,129216596314.4441,191712601227.57086,234.60539421223692
25.3252816020025,2119276.836564323,-2.068141464006931,284927.59770576406,1834351.3070000228,325158424560.53394,-38512620.89208494,129794145970.12094,195402791211.30505,234.99062757109846
25.575531914893617,2084415.58129623,-1.9883767457709773,276645.32873138256,1807772.2409415932,329439471277.84985,-38516751.59446328,130366016384.38817,199111971645.0561,235.3724652311604
25.82578222778473,2050381.2542401915,-1.9124207041311427,268680.9728776339,1781702.1937832618,333733575804.2272,-38520802.24052291,130932318164.0679,202839778442.39972,235.75091441691205
26.076032540675843,2017147.8659219604,-1.840057176191069,261019.42157512342,1756130.2844040133,338040489229.1063,-38524775.13529608,131493158715.86252,206585855288.37906,236.1259841125386
26.32628285356696,1984690.4853910743,-1.771084177762917,253646.41975668774,1731045.8367185644,342359967190.7431,-38528672.49616436,132048642368.6277,210349853494.61154,236.49768494867763
26.576533166458077,1952985.1845565895,-1.7053128503774202,246548.51013155477,1706438.379737885,346691769847.5946,-38532496.456985675,132598870489.86078,214131431854.1908,236.8660290942253
26.826783479349185,1922008.9862294942,-1.6425664954589192,239712.9815791723,1682297.6472168174,351035661844.3497,-38536249.071990356,133143941596.72957,217930256496.69208,237.23103015307882
27.0770337922403,1891739.815572835,-1.582679687721508,233127.82132322117,1658613.5769293015,355391412273.1862,-38539932.31946113,133683951461.94608,221746000743.5596,237.59270306569098
27.32728410513141,1862156.454688375,-1.525497460631603,226781.67057713208,1635376.3096087035,359758794630.7877,-38543548.10521087,134218993214.76942,225578344964.1235,237.95106401530154
27.577534418022527,1833238.5000934568,-1.4708745574866002,220663.78338017524,1612576.187587839,364137586771.61334,-38547098.265870996,134749157437.40474,229426976432.47446,238.3061303387046
27.82778473091364,1804966.3228641616,-1.4186747422887613,214763.98836823174,1590203.753170672,368527570857.8696,-38550584.57200239,135274532257.04729,233291589185.39432,238.65792044140562
28.07803504380476,1777321.031240914,-1.3687701651564423,209072.6532459528,1568249.7467651265,372928533306.59955,-38554008.73103998,135795203433.80609,237171883881.52448,239.0064537170174
28.32828535669587,1750284.4355108363,-1.3210407775189332,203580.6517474442,1546705.1048041696,377340264734.2647,-38557372.390081204,136311254444.72604,241067567661.9287,239.3517504707437
28.578535669586984,1723839.0149974094,-1.275373792792969,198279.33289108012,1525560.957480122,381762559899.17206,-38560677.13852799,136822766564.11507,244978354012.19547,239.69383184679782
28.82878598247809,1697967.887002788,-1.2316631886444709,193160.49235078794,1504808.6263151888,386195217642.05676,-38563924.51059106,137329818940.3688,248903962626.19846,240.03271975960337
29.07903629536921,1672654.777561302,-1.1898092473030242,188216.34578129213,1484439.6215892571,390638040825.117,-38567115.98766498,137832488669.47528,252844119271.62927,240.36843682862647
29.329286608260325,1647883.9938747734,-1.1497181307240152,183439.5039485595,1464445.6396443446,395090836269.76056,-38570253.000581585,138330850865.3696,256798555657.39142,240.70100631668987
29.57953692115144,1623640.3983110595,-1.111301487687695,178822.94952916203,1444818.560083385,399553414693.30914,-38573336.931748964,138824978727.29987,260767009302.94092,241.03045207162202
29.829787234042552,1599909.3838571296,-1.0744760901897608,174360.0154536124,1425550.4428796074,404025590644.87714,-38576369.11718285,139314943604.35495,264749223409.63928,241.35679847109742
30.080037546933667,1576676.850926851,-1.0391634967170196,170044.3646790332,1406633.5254113143,408507182440.62726,-38579350.84843653,139800815057.29666,268744946734.17902,241.68007037052777
30.33028785982478,1553929.1854317628,-1.005289740217456,165869.97128590298,1388060.2194356,412998012098.5836,-38582283.37443525,140282660917.83002,272753933464.128,242.00029305386659
30.58053817271589,1531653.238030476,-0.9727850387687267,161831.10280216215,1369823.1080133526,417497905273.16876,-38585167.903220534,140760547345.43866,276775943095.6333,242.31749218719497
30.83078848560701,1509836.3044789822,-0.9415835271251995,157922.3036657508,1351914.9423967586,422006691189.6133,-38588005.60360951,141234538881.90344,280810740313.3134,242.63169377495916
31.08103879849812,1488466.107010275,-0.9116230074828474,154138.3797437507,1334328.6388895316,426524202578.3729,-38590797.606774114,141704698503.6175,284858094872.3622,242.94292411873514
31.33128911138924,1467530.7766771668,-0.8828447179454442,150474.3838327861,1317057.2756890988,431050275609.6775,-38593545.00774461,142171087671.80325,288917781482.8819,243.2512097784005
31.58153942428035,1447018.8365973,-0.8551931173061815,146925.602071265,1300094.0897191523,435584749828.3178,-38596248.866841584,142633766380.73193,292989579696.45264,243.5565775355965
31.831789737171466,1426919.1860438797,-0.828615684877168,143487.54119945024,1283432.4734601143,440127468088.7738,-38598910.211040415,143092793204.03983,297073273794.94495,243.85905435936945
32.082040050062574,1407221.0853299417,-0.8030627342068408,140155.91660831004,1267065.9717843658,444678276490.7678,-38601530.03527188,143548225339.23093,301168652681.57214,244.1586673738834
32.332290362953685,1387914.1414377473,-0.7784872396228539,136926.64112262693,1250988.27880236,449237024315.3263,-38604109.3036623,144000118650.45062,305275509774.1793,244.45544382810093
32.582540675844804,1368988.2943484685,-0.7548446746267843,133795.8144680043,1235193.2347251389,453803563961.4166,-38606648.95071666,144448527709.6101,309393642900.7572,244.7494110673337
32.83279098873592,1350433.8040305318,-0.7320928612476635,130759.71337521434,1219674.8227481786,458377750883.22375,-38609149.88244747,144893505835.93744,313522854197.16876,245.0405965065671
33.08304130162703,1332241.2380479402,-0.7101918295347988,127814.78227882866,1204427.165960941,462959443528.121,-38611612.97745251,145335105134.02698,317662950007.0714,245.32902760546864
33.333291614518146,1314401.4597526235,-0.6891036864372785,124957.62457027934,1189444.5242860306,467548503275.38403,-38614039.08794391,145773376530.4551,321813740784.01685,245.6147318449931
33.58354192740926,1296905.6170273724,-0.668792493378553,122184.99436844939,1174721.2914514164,472144794375.68713,-38616429.04073134,146208369809.0262,325975040995.70166,245.89773670550167
33.83379224030037,1279745.1315481593,-0.649224151890094,119493.78877359343,1160251.9919987177,476748183891.4241,-38618783.63816148,146640133644.7106,330146669030.3516,246.17806964631566
34.08404255319149,1262911.6885368158,-0.6303662967189783,116881.04057288972,1146031.2783302227,481358541637.87854,-38621103.6590161,147068715636.3316,334328447105.20605,246.45575808662863
34.3342928660826,1246397.226976954,-0.6121881958706101,114343.91136821314,1132053.9277969366,485975740125.2754,-38623389.85937094,147494162338.05698,338520201177.0779,246.7308293877058
34.58454317897371,1230193.9302678022,-0.5946606570902218,111879.6850988322,1118314.8398296272,490599654501.73364,-38625642.97341719,147916519289.747,342721760854.96014,247.0033108363011
34.83479349186483,1214294.217292312,-0.5777559403255961,109485.76193368167,1104809.0331145707,495230162497.13904,-38627863.71424767,148335831046.20816,346932959314.64514,247.27322962922676
35.08504380475594,1198690.7338773976,-0.5614476757489701,107159.65250965589,1091531.6428154174,499867144367.9508,-38630052.77460924,148752141205.39984,351153633215.3257,247.54061285901258
35.33529411764705,1183376.3446255852,-0.5457107869485883,104898.9724940238,1078477.9178423483,504510482842.9575,-38632210.82762339,149165492435.63864,355383622618.1465,247.80548750059657
35.58554443053817,1168344.1250986736,-0.530521418930221,102701.43745059778,1065643.2181694948,509160063069.9852,-38634338.527476266,149575926501.84265,359622770906.67004,248.0678803989886
35.83579474342928,1153587.3543352042,-0.5158568705962667,100564.85799069906,1053023.0122013758,513815772563.56824,-38636436.510079876,149983484290.85596,363870924709.2224,248.32781825785545
36.0860450563204,1139099.5076846594,-0.5016955313951723,98487.13519126781,1040612.8741889229,518477501153.5852,-38638505.393705785,150388205835.8922,368127933823.08673,248.58532762897468
36.33629536921151,1124874.2499423688,-0.48801682185693274,96466.25626367521,1028408.4816955156,523145140934.8592,-38640545.77959256,150790130340.1332,372393651140.50555,248.84043490250932
36.586545682102624,1110905.4287700474,-0.47480113775159416,94500.29045790918,1016405.613113276,527818586217.7251,-38642558.25252834,151189296199.51773,376667932576.4599,249.0931662980572
36.836795994993736,1097187.068387805,-0.46202979762715035,92587.38518784176,1004600.1452297608,532497733479.55865,-38644543.38140966,151585741024.75363,380950636998.18646,249.34354785643148
37.08704630788485,1083713.3635242973,-0.44968499350111346,90725.76236424274,992988.050845048,537182481317.2645,-38646501.7197776,151979501662.58463,385241626156.3997,249.59160543213028
37.337296620775966,1070478.67361246,-0.4377497444965195,88913.7149230925,981565.396439112,541872730400.71765,-38648433.8063324,152370614216.342,389540764618.18207,249.83736468645623
37.58754693366708,1057477.517219009,-0.42620785322829424,87149.6035375698,970328.3398892926,546568383427.1502,-38650340.16542756,152759114065.80978,393847919701.506,250.0808510812487
