model,r_scale,V0,chi2,dof,chi2_dof,success,nfev,galaxy,rank
Einasto_alpha0.18,4.305521066280072,229.19032742658513,118.44965809653377,46,2.5749925673159515,True,101,UGC03205_rotmod,1.0
GenFT,0.3937744175317983,221.03439134693136,1122.0726538291806,28,40.074023351042165,True,168,UGC03546_rotmod,5.0
NFW,2.723241296470785,460.31573375607366,174.74686011179358,28,6.240959289706914,True,126,UGC03546_rotmod,3.0
Burkert,1.5848810797335413,342.8062161522747,346.8183416356305,28,12.38636934412966,True,109,UGC03546_rotmod,4.0
PseudoIso,1.7000639097354892e-08,201.16517461812293,94.34927522081487,28,3.36961697217196,True,162,UGC03546_rotmod,1.0
Einasto_alpha0.18,2.9290704717191134,210.61006073434345,140.23061178048144,28,5.008236135017194,True,115,UGC03546_rotmod,2.0
GenFT,0.39203773101979933,122.34169490483342,2005.7849675687798,45,44.57299927930622,True,123,UGC03580_rotmod,5.0
NFW,8.327233156641476,256.9874506382769,313.88325774911584,45,6.975183505535908,True,111,UGC03580_rotmod,3.0
Burkert,2.90502071076918,181.070349464969,1193.3743098226164,45,26.519429107169252,True,93,UGC03580_rotmod,4.0
PseudoIso,1.046976259425744,123.73831164248335,281.5174082663273,45,6.255942405918385,True,101,UGC03580_rotmod,2.0
Einasto_alpha0.18,11.744197370658835,121.71605643846348,185.95294942679132,45,4.132287765039807,True,100,UGC03580_rotmod,1.0
GenFT,0.6681463386533131,104.21370727008463,28.957843736877173,23,1.259036684212051,True,121,UGC04278_rotmod,1.0
NFW,48049.1715948152,10129.829535265972,30.03429440832097,23,1.305838887318303,True,791,UGC04278_rotmod,2.0
Burkert,5.551776575364821,160.7790621039843,33.130070354947875,23,1.4404378415194727,True,107,UGC04278_rotmod,3.0
PseudoIso,3.3339480644127883,130.39453821920216,35.23558950536843,23,1.5319821524073232,True,98,UGC04278_rotmod,4.0
Einasto_alpha0.18,41.2834168421774,76.5980748187541,96.17101860446792,23,4.181348634976866,True,168,UGC04278_rotmod,5.0
GenFT,0.15857388853400284,35.18409399420687,15.901533433016578,20,0.7950766716508288,True,128,UGC04305_rotmod,2.0
NFW,3.805053074828805,77.38246503520766,33.76440679140755,20,1.6882203395703776,True,101,UGC04305_rotmod,4.0
Burkert,1.1868211470766385,52.43236002554021,15.258022917035262,20,0.7629011458517632,True,82,UGC04305_rotmod,1.0
PseudoIso,0.6319218112455034,39.15455086462048,21.08289330454258,20,1.054144665227129,True,94,UGC04305_rotmod,3.0
Einasto_alpha0.18,7.471428944987915,36.21576850375616,38.64851634198467,20,1.9324258170992334,True,133,UGC04305_rotmod,5.0
GenFT,0.1942787943233529,93.2839191617437,2.3242479139777146,6,0.3873746523296191,True,120,UGC04325_rotmod,2.0
